"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"88","Historic_Sites_View.fid-e93e948_15090ed509b_-194a","Unnamed","10964 Scaggsville Rd","Laurel","POINT (1342863.75 538122.135)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-716.pdf"" TARGET=""NEW"">Click Here </a>",716,46,5,210,0,"Unnamed","","1997","",NA,NA,NA
"89","Historic_Sites_View.fid-e93e948_15090ed509b_-194b","Unnamed","10961 Scaggsville Rd","Laurel","POINT (1342829.52 537910.26)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-715.pdf"" TARGET=""NEW"">Click Here </a>",715,46,5,52,0,"Unnamed","","1997","",NA,NA,NA
"90","Historic_Sites_View.fid-e93e948_15090ed509b_-194c","Unnamed","10919 Scaggsville Rd","Laurel","POINT (1343328.7799999998 537664.14)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-714.pdf"" TARGET=""NEW"">Click Here </a>",714,46,5,54,0,"Unnamed","","1997","",NA,NA,NA
"91","Historic_Sites_View.fid-e93e948_15090ed509b_-194d","Bobby's Scaggsville Stati","10919 Scaggsville Rd","Laurel","POINT (1343273.16 537770.085)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-712.pdf"" TARGET=""NEW"">Click Here </a>",712,46,5,54,0,"Bobby's Scaggsville Station","","1997","",NA,NA,NA
"92","Historic_Sites_View.fid-e93e948_15090ed509b_-194e","Unnamed","10787Scaggsville Rd","Laurel","POINT (1344557.91 536666.22)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-711.pdf"" TARGET=""NEW"">Click Here </a>",711,46,11,99,0,"Unnamed","","1997","",NA,NA,NA
"93","Historic_Sites_View.fid-e93e948_15090ed509b_-194f","Arthur E. Scaggs House","10763 Scaggsville Rd","Laurel","POINT (1344667.95 536555.01)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-710.pdf"" TARGET=""NEW"">Click Here </a>",710,46,11,40,0,"Arthur E. Scaggs House","","1997","",NA,NA,NA
"94","Historic_Sites_View.fid-e93e948_15090ed509b_-1950","Unnamed","10756 Scaggsville Rd","Laurel","POINT (1344858.75 536739.6749999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-709.pdf"" TARGET=""NEW"">Click Here </a>",709,46,11,5,0,"Unnamed","","1997","",NA,NA,NA
"95","Historic_Sites_View.fid-e93e948_15090ed509b_-1951","Emmanuel Methodist Episcp","10755 Scaggsville Rd","Laurel","POINT (1344811.92 536480.385)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-708.pdf"" TARGET=""NEW"">Click Here </a>",708,46,11,365,0,"Emmanuel Methodist Episcpal Church South","Emmanuel United Methodist Church","1997","",NA,NA,NA
"96","Historic_Sites_View.fid-e93e948_15090ed509b_-1952","Unnamed","10710 Scaggsville Rd","","POINT (1345453.41 536137.11)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-706.pdf"" TARGET=""NEW"">Click Here </a>",706,46,11,11,0,"Unnamed","","OTHER","7/23/2004",NA,NA,NA
"97","Historic_Sites_View.fid-e93e948_15090ed509b_-1953","Unnamed","10671 Scaggsville Rd","Laurel","POINT (1345588.0499999998 535739.1)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-705.pdf"" TARGET=""NEW"">Click Here </a>",705,46,12,191,0,"Unnamed","","1997","",NA,NA,NA
"98","Historic_Sites_View.fid-e93e948_15090ed509b_-1954","Unnamed","10643 Scaggsville Rd","Laurel","POINT (1345843.23 535568.49)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-704.pdf"" TARGET=""NEW"">Click Here </a>",704,46,12,196,0,"Unnamed","","1997","",NA,NA,NA
"99","Historic_Sites_View.fid-e93e948_15090ed509b_-1955","Welsh's School","10623 Scaggsville Rd","Laurel","POINT (1346484.42 535370.955)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-703.pdf"" TARGET=""NEW"">Click Here </a>",703,46,12,31,0,"Welsh's School","Highridge School","1997","Demo permit for SFD 11/16/2004 completed",NA,NA,NA
"100","Historic_Sites_View.fid-e93e948_15090ed509b_-1956","Unnamed","10578 Scaggsville Rd","Laurel","POINT (1346679.3299999998 535415.145)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-702.pdf"" TARGET=""NEW"">Click Here </a>",702,46,12,212,0,"Unnamed","","1997","",NA,NA,NA
"101","Historic_Sites_View.fid-e93e948_15090ed509b_-1957","Unnamed","10571 Scaggsville Rd","Laurel","POINT (1346637.48 535259.745)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-701.pdf"" TARGET=""NEW"">Click Here </a>",701,46,12,85,0,"Unnamed","","1997","",NA,NA,NA
"102","Historic_Sites_View.fid-e93e948_15090ed509b_-1958","Country Corner","10570 Scaggsville Rd","","POINT (1346781.18 535340.52)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-700.pdf"" TARGET=""NEW"">Click Here </a>",700,46,12,212,1,"Country Corner","","1997","",NA,NA,NA
"103","Historic_Sites_View.fid-e93e948_15090ed509b_-1959","Unnamed","","","POINT (1338159.15 536336.64)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-699.pdf"" TARGET=""NEW"">Click Here </a>",699,46,9,141,0,"Unnamed","","1997","",NA,NA,NA
"104","Historic_Sites_View.fid-e93e948_15090ed509b_-195a","Unnamed","8431 Old Columbia Rd","Laurel","POINT (1338289.38 536222.8049999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-698.pdf"" TARGET=""NEW"">Click Here </a>",698,46,9,60,0,"Unnamed","","1997","",NA,NA,NA
"105","Historic_Sites_View.fid-e93e948_15090ed509b_-195b","Unnamed","","","POINT (1338734.7899999998 536795.52)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-697.pdf"" TARGET=""NEW"">Click Here </a>",697,46,9,265,0,"Unnamed","","1997","",NA,NA,NA
"106","Historic_Sites_View.fid-e93e948_15090ed509b_-195c","Unnamed","","","POINT (1339012.2 537187.6799999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-696.pdf"" TARGET=""NEW"">Click Here </a>",696,46,9,205,0,"Unnamed","","1997","",NA,NA,NA
"107","Historic_Sites_View.fid-e93e948_15090ed509b_-195d","Old Columbia Road Bridge","","","POINT (1345411.74 546830.5499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-695.pdf"" TARGET=""NEW"">Click Here </a>",695,41,11,0,0,"Old Columbia Road Bridge (#HO-64)","","1997","",NA,NA,NA
"108","Historic_Sites_View.fid-e93e948_15090ed509b_-195e","Unnamed","","","POINT (1337841.9 536536.5299999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-694.pdf"" TARGET=""NEW"">Click Here </a>",694,46,9,137,0,"Unnamed","","1997","",NA,NA,NA
"109","Historic_Sites_View.fid-e93e948_15090ed509b_-195f","Melvin and Myrtle Scaggs","","","POINT (1338202.74 536541.7949999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-693.pdf"" TARGET=""NEW"">Click Here </a>",693,46,9,118,0,"Melvin and Myrtle Scaggs House","","1997","",NA,NA,NA
