FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0e,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-301.pdf"" TARGET=""NEW"">Click Here </a>",301,Tuten's Cottage,3825 Old Columbia Pike,25,0,261,0,Tuten's Cottage,,Ellicott City,1980,Not located,POINT (1368574.74 582345.0599999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0d,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-302.pdf"" TARGET=""NEW"">Click Here </a>",302,Charles Ringley House,3820 Old Columbia Pike,25,0,133,0,Charles Ringley House No. 1,,Ellicott City,1982,Not located,POINT (1368462.93 582415.005)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-304.pdf"" TARGET=""NEW"">Click Here </a>",304,Paul Perkins' House,3821 Old Columbia Pike,25,0,259,0,Paul Perkins House,,Ellicott City,1981,,POINT (1368617.73 582415.3049999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-303.pdf"" TARGET=""NEW"">Click Here </a>",303,Brucs Smyser's House,3815 Old Columbia Pike,25,0,258,0,Bruce Smyser Double House,,Ellicott City,1981,Not located,POINT (1368637.65 582478.7999999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-305.pdf"" TARGET=""NEW"">Click Here </a>",305,Esther Rettger's House,3801-3803 Old Columbia Pi,25,0,257,0,Esther Rettger House,,Ellicott City,1982,Not located,POINT (1368654.9 582519.7799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c09,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-306.pdf"" TARGET=""NEW"">Click Here </a>",306,Friends' Meeting House,Old Columbia Pike,25,0,251,0,Friends Meeting House Historical Marker,,Ellicott City,1972,Should not be part of Inventory,POINT (1369150.3499999999 582463.59)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c08,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-308.pdf"" TARGET=""NEW"">Click Here </a>",308,Maneli Cottage,3774 Old Columbia Pike,25,0,127,0,Manelli Cottage,,Ellicott City,1981,,POINT (1369107.0599999998 582603.1799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c07,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-312.pdf"" TARGET=""NEW"">Click Here </a>",312,Waxford Shop,3732 Tongue Row,25,0,124,1,Wexford House Shop,,Ellicott City,1975,,POINT (1369227.0299999998 582923.355)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c06,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-311.pdf"" TARGET=""NEW"">Click Here </a>",311,R&R Antiques,3736-3742 Tongue Row,25,0,289,0,Double House - Tongue Row,,Ellicott City,1975,,POINT (1369180.7999999998 582856.62)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c05,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-310.pdf"" TARGET=""NEW"">Click Here </a>",310,Rebel Trading Post,3744-3748 Tongue Row,25,0,125,0,Margaret Ijam's Double House,,Ellicott City,1975,,POINT (1369172.88 582837.015)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c04,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Esther Rettger's Shop,3752-3754 Tongue Row,25,0,126,0,Esther Rettger Double House,Pieter Meerschaert Shop,Ellicott City,1972,,POINT (1369175.52 582817.695)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c03,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-313.pdf"" TARGET=""NEW"">Click Here </a>",313,George Anderson Shop,3723 Tongue Row,25,0,134,0,Day-O'Neal-French House,George Anderson House,Ellicott City,2010,,POINT (1369381.5599999998 582911.64)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c02,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-314.pdf"" TARGET=""NEW"">Click Here </a>",314,Clarkland Farm,Rt 108,29,5,3,2,Clarkland Farm Stone Tenant House,,Ellicott City,1978,,POINT (1345372.26 575666.25)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c01,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-315.pdf"" TARGET=""NEW"">Click Here </a>",315,George Burgess House,8448 Main St,25,0,157,0,George Burgess House,,Ellicott City,1980,Could not find street,POINT (1368399.42 583810.6649999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c00,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-316.pdf"" TARGET=""NEW"">Click Here </a>",316,Search Enclosed,4119 Old Columbia Pike,24,24,721,0,Search Enclosed,The Chambers House,Ellicott City,1978,,POINT (1363780.3199999998 579132.2699999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1bff,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-317.pdf"" TARGET=""NEW"">Click Here </a>",317,Tilghman Grocery Store,5733-5739 Main St,38,4,326,0,Tilghman Grocery Store and House,The Gloth Apartment House,Elkridge,1978,,POINT (1394882.73 564545.6549999999)
